Name,2RL,5SG(2.5RL),3RL,7SG(3.5RL),4RL,
Chime,32,39,47,54,62,
Clay,32,39,47,54,62,
Crow,64,78,94,108,124,
D,32,39,47,54,62,
Alice: Wonderland Bunny,32,39,47,54,62,
Epinel,32,39,47,54,62,
Lily,32,39,47,54,62,
Liter,32,39,47,54,62,
Makima,32,39,47,54,62,
Misato,32,39,47,54,62,
Miranda,32,39,47,54,62,
Nayuta,32,39,47,54,62,
Novel,32,39,47,54,62,
Quency,64,78,94,108,124,
Little Mermaid,35,42,50,57,65,
Rei,32,39,47,54,62,
Signal,32,39,47,54,62,
K(excluding procs),64,78,94,108,124,
Quency: Escape Queen,64,78,94,108,124,
Soline,64,78,94,108,124,
Mast,32,39,47,54,62,
Sakura Suzuhara,32,39,47,54,62,
Volume,32,39,47,54,62,
Nero,32,39,47,54,62,
Novel,32,39,47,54,62,
Alice,1,2,2,2,3,
Rapi: Red Hood,35,51,65,81,95,
Rei Ayanami,35,51,65,81,95,
Rem,35,51,65,81,95,
Aria,35,51,65,81,95,
Asuka: Wille,35,52,66,82,96,
Flora,35,51,65,81,95,
Crown,35,51,65,81,95,
Delta: True Ninja,35,51,65,81,95,
Diesel,35,51,65,81,95,
Elegg: Boom and Shock,35,51,65,81,95,
Elegg,35,51,65,81,95,
Emma,35,51,65,81,95,
Emma,35,51,65,81,95,
Kilo,35,51,65,81,95,
Guillotine,35,51,65,81,95,
Rosanna,35,51,65,81,95,
Soda,35,51,65,81,95,
Ludmilla: Winter Owner,35,51,65,81,95,
Mast: Romantic Maid,35,51,65,81,95,
Mihara: Bonding Chain,45,63,80,96,113,
Neon: Blue Ocean,35,51,65,81,95,
Cinderella(weird aim),8,12,16,18,22,
iDoll Flower,21,27,31,37,41,
iDoll Ocean,32,39,47,54,62,
iDoll Sun,4,4,6,6,8,
Product 08,2,2,3,3,4,
Product 12,35,51,65,81,95,
Product 23,40,50,60,70,80,
Soldier EG,21,27,31,37,41,
Soldier FA,40,50,60,70,80,
Soldier OW,32,39,47,54,62,
